City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
284,caleta de carquin,-11.0925,-77.6267,19.11,82,35,4.15,PE,1699496490
285,vila franca do campo,37.7167,-25.4333,20.49,99,99,3.97,PT,1699496491
286,luderitz,-26.6481,15.1594,17.23,53,0,7.71,NA,1699496492
287,kinmparana,12.8402,-4.9199,29.13,23,79,2.91,ML,1699496492
288,maquoketa,42.0689,-90.6657,8.85,91,100,5.05,US,1699496492
289,elamanchili,17.55,82.8667,24.72,82,55,1.42,IN,1699496493
290,waingapu,-9.6567,120.2641,31.79,51,6,2.87,ID,1699496493
291,balqash,46.8481,74.995,3.33,87,40,5.0,KZ,1699496494
292,kadnikov,59.5022,40.338,5.46,93,100,1.87,RU,1699496495
293,goderich,43.7501,-81.7165,2.18,87,100,9.26,CA,1699496496
294,castillos,-34.1667,-53.8333,12.39,84,21,1.08,UY,1699496497
295,melfort,52.8667,-104.6177,-0.93,93,100,5.14,CA,1699496497
296,acapulco de juarez,16.8634,-99.8901,27.5,83,4,3.36,MX,1699496345
297,gbarnga,6.9956,-9.4722,21.82,99,100,0.53,LR,1699496499
298,liberty lake,47.6759,-117.1182,4.8,89,40,0.0,US,1699496500
299,dudinka,69.4058,86.1778,-5.21,92,100,12.96,RU,1699496501
300,howard springs,-12.497,131.047,33.95,46,13,2.43,AU,1699496501
301,bodaybo,57.8506,114.1933,-17.47,94,99,0.49,RU,1699496502
302,weno,7.4515,151.8468,28.97,84,100,5.14,FM,1699496503
303,zouerate,22.7187,-12.4521,19.39,31,0,4.08,MR,1699496504
304,yangp'yong,37.4897,127.4906,14.89,55,41,1.52,KR,1699496504
305,colonia,50.9333,6.95,11.05,87,75,4.12,DE,1699496505
306,nadi,-17.8,177.4167,30.0,62,100,6.17,FJ,1699496505
307,port macquarie,-31.4333,152.9167,25.5,62,91,6.39,AU,1699496506
308,anshun,26.25,105.9333,18.64,77,33,5.0,CN,1699496385
309,bang saphan,11.2126,99.5117,28.68,71,99,1.18,TH,1699496507
310,zaigrayevo,51.8336,108.2703,-8.83,69,67,4.72,RU,1699496507
311,ust'-uda,54.1742,103.0304,-11.36,83,39,1.49,RU,1699496508
312,katsuura,35.1333,140.3,19.43,56,98,3.14,JP,1699496508
313,nassau,40.7507,-73.5829,7.81,59,0,2.06,US,1699496510
314,okhotsk,59.3833,143.3,-15.02,82,4,6.99,RU,1699496511
315,west mackay,-21.1481,149.1605,28.13,58,12,4.96,AU,1699496511
316,wynyard,-41.0,145.7167,16.79,73,39,3.43,AU,1699496512
317,arucas,28.1198,-15.5233,20.43,71,68,7.1,ES,1699496512
318,san juan tepulco,19.1167,-97.9833,12.91,76,80,1.79,MX,1699496513
319,murzuq,25.9155,13.9184,20.06,24,52,3.8,LY,1699496513
320,aasiaat,68.7098,-52.8699,-5.09,82,100,0.71,GL,1699496514
321,hirara,24.8,125.2833,28.15,65,75,3.6,JP,1699496515
322,yamba,-5.9,22.3,20.75,99,100,1.36,CD,1699496516
323,farmington,36.7281,-108.2187,7.38,65,0,3.09,US,1699496516
324,cabedelo,-6.9811,-34.8339,24.37,76,0,5.84,BR,1699496334
325,chonchi,-42.6128,-73.8092,8.95,95,99,1.11,CL,1699496517
326,kargasok,59.0556,80.8572,-3.35,93,95,4.92,RU,1699496520
327,ilebo,-4.3167,20.5833,21.52,98,100,0.68,CD,1699496521
328,undurkhaan,47.3194,110.6556,-16.74,83,58,3.02,MN,1699496521
329,geneina,13.45,22.45,23.23,26,100,5.03,SD,1699496522
330,baley,51.6,116.6333,-11.77,77,100,3.1,RU,1699496523
331,pangoa,-12.1167,-73.0,21.43,98,100,0.83,PE,1699496523
332,taber,49.8167,-112.1518,3.91,69,25,3.6,CA,1699496525
333,vorgashor,67.5833,63.95,-0.68,98,100,2.18,RU,1699496526
334,opuwo,-18.0607,13.84,20.2,29,0,2.47,NA,1699496526
335,zeya,53.75,127.2667,-9.17,92,100,1.89,RU,1699496443
336,bontang,0.1333,117.5,28.92,72,100,1.89,ID,1699496527
337,tecate,32.5667,-116.6333,16.44,31,0,3.74,MX,1699496104
338,pariaman,-0.619,100.12,28.03,94,100,2.14,ID,1699496291
339,portland,45.5234,-122.6762,9.1,88,0,1.34,US,1699496175
340,saint-laurent,45.5001,-73.6658,1.02,72,40,1.54,CA,1699496533
341,adam,22.3756,57.5233,21.29,83,0,0.51,OM,1699496535
342,rio cauto,20.5603,-76.9161,24.03,90,2,3.55,CU,1699496535
343,wad medani,14.4012,33.5199,26.97,57,58,2.51,SD,1699496536
344,chernyshevskiy,63.0128,112.4714,-20.71,95,10,1.09,RU,1699496537
345,camiri,-20.05,-63.5167,22.39,78,100,1.64,BO,1699496537
346,saint-philippe,-21.3585,55.7679,22.77,82,3,3.97,RE,1699496538
347,bikenibeu village,1.3673,173.1241,29.13,72,16,1.67,KI,1699496539
348,turpan,42.9333,89.1667,8.86,21,63,0.33,CN,1699496539
349,andovoranto,-18.95,49.1,22.65,90,63,1.39,MG,1699496540
350,chernomorskoye,45.5039,32.6997,14.32,74,100,8.35,UA,1699496541
351,fale old settlement,-9.3852,-171.2468,28.86,69,93,4.84,TK,1699496542
352,buka,40.8108,69.1986,12.13,64,97,0.61,UZ,1699496564
353,taksimo,56.3444,114.8794,-11.98,70,11,1.21,RU,1699496564
354,buchanan,5.8808,-10.0467,25.22,88,98,2.13,LR,1699496564
355,divino das laranjeiras,-18.7778,-41.4797,19.29,78,0,2.43,BR,1699496566
356,los llanos de aridane,28.6585,-17.9182,18.86,78,100,6.17,ES,1699496567
357,christchurch,-43.5333,172.6333,15.51,61,100,6.17,NZ,1699496526
358,tateyama,34.9833,139.8667,18.95,58,81,2.79,JP,1699496568
359,zhanibek,49.4167,46.85,8.53,72,100,4.36,KZ,1699496571
360,enriquillo,17.9,-71.2333,26.5,86,24,4.85,DO,1699496571
361,taroa,8.7058,171.2275,28.01,81,100,10.25,MH,1699496572
362,wenchang,30.904,118.4887,17.06,82,100,2.59,CN,1699496572
